Invoice ID,City,StoreName,Gender,Categories,Cost Price / unit,Quantity,Total Cost,Date,Payment,Gross margin percentage,Gross income,Rating,Demand,Supply,Profit in %,sales
1,Mumbai,Green Mart Groceries,Female,Health and beauty,74.69,7,522.83,04-02-2021,Ewallet,15%,26.1415,9.1,11.9402607,4.08365387,425.08,2745.27576
2,Delhi,Indian Spice Bazaar,Female,Electronic accessories,15.28,5,76.4,05-11-2020,Cash,15%,3.82,9.6,32.03199695,44.28532237,72.58,131.85112
3,Bangalore,EcoFresh Grocery Haven,Male,Home and lifestyle,46.33,7,324.31,31-01-2020,Credit card,15%,16.2155,7.4,78.04834597,10.91113004,308.0945,1323.49127
4,Kolkata,Golden Harvest Provisions,Male,Health and beauty,58.22,8,465.76,27-08-2022,Ewallet,15%,23.288,8.4,91.94054653,15.84043549,442.472,2526.61759
5,Chennai,Sarvodaya Supermart,Male,Sports and travel,86.31,7,604.17,09-02-2020,Ewallet,15%,30.2085,5.3,22.87622517,24.01191176,573.9615,4071.87320
6,Ahemdabad,Nirvana Grocer's Paradise,Male,Electronic accessories,85.39,7,597.73,15-06-2022,Ewallet,15%,29.8865,4.1,83.19286073,34.61538596,567.8435,3991.90095
7,Hyderabad,TastyBite Provision Store,Female,Electronic accessories,68.84,6,413.04,23-08-2022,Ewallet,15%,20.652,5.8,71.94072061,5.476144926,392.388,2033.75940
8,Kanpur,Nature's Bounty Mart,Female,Home and lifestyle,73.56,10,735.6,26-09-2022,Ewallet,15%,36.78,8,29.07111739,14.21863619,698.82,5876.11992
9,Surat,MangoTree Grocery Express,Female,Health and beauty,36.26,2,72.52,03-07-2022,Credit card,15%,3.626,7.2,64.45353921,41.59866391,68.894,122.48193
10,Pune,Deshi Dukan Groceries,Female,Food and beverages,54.84,3,164.52,30-11-2021,Credit card,15%,8.226,5.9,68.12372835,1.290807879,156.294,421.65489
11,Mumbai,Urban Essentials Superstore,Female,Fashion accessories,14.48,4,57.92,10-07-2020,Ewallet,15%,2.896,4.5,48.33075474,38.58338481,55.024,89.78990
12,Delhi,Krishi Kendra Grocers,Male,Electronic accessories,25.51,4,102.04,10-06-2021,Cash,15%,5.102,6.8,87.22898157,45.6256942,96.938,200.95554
13,Bangalore,SpiceRoots Grocery House,Female,Electronic accessories,46.95,5,234.75,08-12-2022,Ewallet,15%,11.7375,7.1,31.9374153,6.52907784,223.0125,758.27184
14,Kolkata,Farmers' Delight Emporium,Male,Food and beverages,43.19,10,431.9,24-12-2020,Ewallet,15%,21.595,8.2,52.04462903,6.887842824,410.305,2204.00730
